chr	start	stop	density
chr11	100710350	100710375	0.0971
chr11	100711143	100711168	0.1942
chr11	100711356	100711374	0.0971
chr11	100711374	100711381	0.1942
chr11	100711381	100711399	0.0971
chr11	100711662	100711687	0.0971
chr11	100711749	100711774	0.0971
chr11	100711911	100711936	0.0971
chr11	100712493	100712518	0.0971
chr11	100712528	100712553	0.1942
chr11	100713902	100713927	0.0971
chr11	100714034	100714059	0.0971
chr11	100714189	100714214	0.0971
chr11	100714771	100714796	0.0971
chr11	100714863	100714888	0.1942
chr11	100715448	100715473	0.0971
chr11	100716309	100716334	0.0971
chr11	100716448	100716473	0.0971
chr11	100716665	100716690	0.0971
chr11	100716989	100717014	0.1942
chr11	100717065	100717090	0.0971
chr11	100717458	100717483	0.1942
chr11	100718212	100718237	0.1942
chr11	100718936	100718961	0.0971
chr11	100719683	100719708	0.1942
chr11	100719728	100719753	0.0971
chr11	100719796	100719810	0.0971
chr11	100719810	100719821	0.2913
chr11	100719821	100719835	0.1942
chr11	100719868	100719893	0.0971
chr11	100719947	100719972	0.0971
chr11	100720127	100720152	0.0971
chr11	100720264	100720289	0.0971
chr11	100720780	100720805	0.0971
chr11	100721599	100721624	0.1942
chr11	100721932	100721957	0.0971
chr11	100721966	100721991	0.0971
chr11	100722607	100722657	0.0971
chr11	100722942	100722967	0.0971
chr11	100723229	100723254	0.0971
chr11	100723296	100723321	0.0971
chr11	100723453	100723478	0.0971
chr11	100725584	100725609	0.1942
chr11	100725716	100725741	0.0971
chr11	100725987	100726012	0.0971
chr11	100726958	100726963	0.0971
chr11	100726963	100726983	0.1942
chr11	100726983	100726988	0.0971
chr11	100729484	100729509	0.0971
chr11	100730529	100730554	0.0971
chr11	100731912	100731923	0.0971
chr11	100731923	100731937	0.1942
chr11	100731937	100731948	0.0971
chr11	100732090	100732115	0.0971
chr11	100735223	100735248	0.1942
chr11	100737731	100737756	0.1942
chr11	100738012	100738037	0.0971
chr11	100738934	100738959	0.0971
chr11	100739318	100739343	0.0971
chr11	100740359	100740384	0.0971
chr11	100740510	100740535	0.0971
chr11	100740555	100740566	0.0971
chr11	100740566	100740580	0.1942
chr11	100740580	100740591	0.0971
chr11	100740885	100740910	0.0971
chr11	100741144	100741169	0.0971
chr11	100741268	100741293	0.0971
chr11	100741602	100741619	0.0971
chr11	100741619	100741627	0.1942
chr11	100741627	100741644	0.0971
chr11	100741818	100741826	0.0971
chr11	100741826	100741843	0.1942
chr11	100741843	100741851	0.0971
chr11	100741953	100741978	0.0971
chr11	100742099	100742124	0.0971
chr11	100743516	100743541	0.0971
chr11	100743579	100743603	0.0971
chr11	100743603	100743604	0.1942
chr11	100743604	100743628	0.0971
